event_id,package_id,timestamp,stage,scanner_id,employee_id,processing_seconds,error_flag
56,P10056,2025-11-01 07:01:41,sort,S07,E003,13,0
57,P10057,2025-11-01 06:27:50,scan,S06,E017,6,0
58,P10058,2025-11-01 06:12:34,inbound,S05,E008,6,0
59,P10059,2025-11-01 06:03:32,inbound,S02,E009,8,0
60,P10060,2025-11-01 06:02:54,sort,S05,E001,4,0
61,P10061,2025-11-01 06:20:44,inbound,S03,E006,5,0
62,P10062,2025-11-01 07:33:09,dispatch,S02,E006,5,0
63,P10063,2025-11-01 06:07:59,sort,S06,E013,5,0
64,P10064,2025-11-01 06:15:40,inbound,S07,E008,6,0
65,P10065,2025-11-01 06:06:51,scan,S09,E013,10,0
66,P10066,2025-11-01 06:22:29,scan,S06,E002,6,0
67,P10067,2025-11-01 07:11:35,sort,S07,E020,5,0
68,P10068,2025-11-01 06:07:03,dispatch,S09,E017,8,0
69,P10069,2025-11-01 07:08:36,dispatch,S09,E019,3,0
70,P10070,2025-11-01 06:03:34,scan,S10,E002,7,0
71,P10071,2025-11-01 06:48:18,sort,S02,E012,15,0
72,P10072,2025-11-01 06:21:05,scan,S06,E007,9,0
73,P10073,2025-11-01 06:26:56,scan,S07,E014,15,0
74,P10074,2025-11-01 06:14:38,scan,S02,E010,10,0
75,P10075,2025-11-01 06:40:36,scan,S09,E003,7,0
76,P10076,2025-11-01 07:05:52,scan,S06,E009,7,0
77,P10077,2025-11-01 06:13:07,inbound,S09,E020,7,0
78,P10078,2025-11-01 06:41:55,scan,S06,E006,13,0
79,P10079,2025-11-01 06:36:11,scan,S07,E003,15,0
80,P10080,2025-11-01 06:03:14,dispatch,S03,E007,15,0
81,P10081,2025-11-01 06:16:08,inbound,S06,E013,7,0
82,P10082,2025-11-01 06:30:59,scan,S08,E014,13,0
83,P10083,2025-11-01 07:01:38,scan,S09,E016,10,0
84,P10084,2025-11-01 06:11:15,inbound,S08,E016,12,0
85,P10085,2025-11-01 06:06:35,sort,S01,E011,12,0
86,P10086,2025-11-01 07:30:25,scan,S04,E011,9,0
87,P10087,2025-11-01 06:18:27,sort,S04,E009,16,0
88,P10088,2025-11-01 06:13:55,scan,S09,E011,8,0
89,P10089,2025-11-01 06:52:37,sort,S06,E018,11,0
90,P10090,2025-11-01 07:26:51,scan,S09,E009,5,1
91,P10091,2025-11-01 07:16:28,scan,S05,E018,14,0
92,P10092,2025-11-01 06:57:22,inbound,S07,E018,9,0
93,P10093,2025-11-01 06:15:45,scan,S10,E018,6,0
94,P10094,2025-11-01 06:12:53,sort,S10,E010,12,0
95,P10095,2025-11-01 07:24:11,scan,S09,E008,9,0
96,P10096,2025-11-01 06:03:08,sort,S02,E007,6,0
97,P10097,2025-11-01 06:04:02,sort,S01,E009,14,0
98,P10098,2025-11-01 06:18:08,sort,S07,E008,5,0
99,P10099,2025-11-01 06:35:14,scan,S03,E019,7,0
100,P10100,2025-11-01 06:00:30,scan,S05,E011,6,0
101,P10101,2025-11-01 06:19:49,scan,S09,E003,9,0
102,P10102,2025-11-01 06:43:11,inbound,S08,E011,11,0
103,P10103,2025-11-01 06:00:21,sort,S05,E016,14,0
104,P10104,2025-11-01 07:52:27,inbound,S06,E011,10,0
105,P10105,2025-11-01 06:30:14,sort,S09,E003,11,1
106,P10106,2025-11-01 06:13:32,sort,S02,E003,6,0
107,P10107,2025-11-01 06:22:43,scan,S06,E012,10,0
108,P10108,2025-11-01 10:37:45,scan,S01,E008,13,0
109,P10109,2025-11-01 06:10:20,scan,S07,E003,12,0
110,P10110,2025-11-01 06:08:22,inbound,S03,E020,3,0
111,P10111,2025-11-01 06:06:36,scan,S01,E008,10,0
112,P10112,2025-11-01 07:25:40,sort,S07,E004,4,0
113,P10113,2025-11-01 06:19:26,scan,S07,E010,6,0
114,P10114,2025-11-01 06:58:35,scan,S10,E004,3,0
115,P10115,2025-11-01 08:19:41,scan,S02,E014,12,0
116,P10116,2025-11-01 06:41:18,scan,S10,E007,5,0
117,P10117,2025-11-01 06:08:13,scan,S01,E020,16,0
118,P10118,2025-11-01 06:02:58,dispatch,S03,E010,12,0
119,P10119,2025-11-01 07:49:31,sort,S05,E003,10,0
120,P10120,2025-11-01 06:09:39,inbound,S08,E006,11,0
121,P10121,2025-11-01 08:30:15,scan,S01,E013,13,0
122,P10122,2025-11-01 06:25:29,inbound,S03,E015,9,0
123,P10123,2025-11-01 07:14:53,sort,S09,E015,12,0
124,P10124,2025-11-01 06:07:59,sort,S06,E007,5,0
125,P10125,2025-11-01 06:16:52,scan,S03,E017,14,0
126,P10126,2025-11-01 06:21:03,inbound,S06,E016,6,0
127,P10127,2025-11-01 10:16:09,dispatch,S09,E009,9,0
128,P10128,2025-11-01 06:03:12,scan,S05,E001,4,0
129,P10129,2025-11-01 06:54:41,scan,S07,E012,10,0
130,P10130,2025-11-01 06:56:25,scan,S05,E014,18,0
131,P10131,2025-11-01 06:15:13,sort,S02,E012,3,0
132,P10132,2025-11-01 07:02:04,scan,S02,E015,7,0
133,P10133,2025-11-01 07:15:06,sort,S08,E007,8,0
134,P10134,2025-11-01 06:41:07,scan,S05,E019,3,0
135,P10135,2025-11-01 06:00:04,scan,S04,E015,10,0
136,P10136,2025-11-01 07:20:36,sort,S05,E014,14,0
137,P10137,2025-11-01 10:19:45,scan,S09,E020,9,0
138,P10138,2025-11-01 07:17:00,sort,S09,E018,12,0
139,P10139,2025-11-01 08:16:46,inbound,S07,E010,3,0
140,P10140,2025-11-01 06:16:41,sort,S06,E019,7,0
141,P10141,2025-11-01 08:31:56,sort,S02,E010,4,0
142,P10142,2025-11-01 09:35:26,scan,S08,E010,10,0
143,P10143,2025-11-01 07:07:01,sort,S10,E018,12,0
144,P10144,2025-11-01 06:46:49,scan,S05,E003,8,0
145,P10145,2025-11-01 08:36:39,scan,S08,E017,13,1
146,P10146,2025-11-01 06:08:28,sort,S09,E007,4,0
147,P10147,2025-11-01 08:50:01,sort,S05,E001,3,0
148,P10148,2025-11-01 06:29:29,scan,S01,E018,7,0
149,P10149,2025-11-01 10:35:30,scan,S02,E018,9,0
150,P10150,2025-11-01 07:30:57,scan,S02,E018,14,0
151,P10151,2025-11-01 06:57:59,scan,S01,E018,14,0
152,P10152,2025-11-01 08:20:45,scan,S02,E014,10,0
153,P10153,2025-11-01 07:40:05,inbound,S07,E008,9,0
154,P10154,2025-11-01 06:25:58,inbound,S08,E007,9,0
155,P10155,2025-11-01 06:25:53,sort,S09,E004,8,0
156,P10156,2025-11-01 11:08:25,sort,S04,E020,9,0
157,P10157,2025-11-01 07:23:20,sort,S10,E010,12,0
158,P10158,2025-11-01 06:12:24,sort,S03,E005,12,0
159,P10159,2025-11-01 07:57:45,scan,S07,E009,7,0
160,P10160,2025-11-01 06:58:14,scan,S08,E006,12,0
161,P10161,2025-11-01 07:31:00,sort,S05,E004,10,0
162,P10162,2025-11-01 07:00:00,scan,S01,E009,9,0
163,P10163,2025-11-01 06:20:40,sort,S02,E008,3,0
164,P10164,2025-11-01 06:42:29,scan,S03,E020,8,0
165,P10165,2025-11-01 09:20:15,scan,S01,E014,15,0
166,P10166,2025-11-01 06:29:28,scan,S05,E003,8,0
167,P10167,2025-11-01 07:38:36,dispatch,S10,E013,10,0
168,P10168,2025-11-01 07:42:52,inbound,S08,E013,3,0
169,P10169,2025-11-01 06:08:24,scan,S04,E014,15,0
170,P10170,2025-11-01 06:02:57,sort,S06,E013,8,0
171,P10171,2025-11-01 06:43:01,scan,S02,E010,14,0
172,P10172,2025-11-01 06:16:21,inbound,S01,E011,9,0
173,P10173,2025-11-01 06:40:20,scan,S06,E017,16,0
174,P10174,2025-11-01 06:27:27,scan,S04,E006,9,0
175,P10175,2025-11-01 06:27:23,scan,S08,E009,11,0
176,P10176,2025-11-01 06:17:18,scan,S10,E012,4,0
177,P10177,2025-11-01 06:53:07,scan,S06,E009,6,0
178,P10178,2025-11-01 09:24:41,scan,S07,E013,5,0
179,P10179,2025-11-01 06:14:33,inbound,S04,E008,15,0
180,P10180,2025-11-01 06:21:20,sort,S02,E014,15,0
181,P10181,2025-11-01 06:34:19,scan,S06,E018,17,0
182,P10182,2025-11-01 06:08:04,scan,S09,E005,11,0
183,P10183,2025-11-01 06:15:05,inbound,S03,E016,9,0
184,P10184,2025-11-01 07:57:54,scan,S06,E018,13,0
185,P10185,2025-11-01 08:23:18,scan,S05,E003,9,0
186,P10186,2025-11-01 06:49:45,sort,S10,E009,7,1
187,P10187,2025-11-01 07:41:19,scan,S01,E010,6,0
188,P10188,2025-11-01 06:56:19,scan,S03,E014,17,0
189,P10189,2025-11-01 06:53:50,scan,S01,E010,12,0
190,P10190,2025-11-01 06:59:15,inbound,S04,E014,8,0
191,P10191,2025-11-01 07:52:31,scan,S05,E017,4,0
192,P10192,2025-11-01 06:59:03,sort,S08,E009,8,0
193,P10193,2025-11-01 06:21:20,scan,S07,E017,16,0
194,P10194,2025-11-01 08:50:00,sort,S09,E019,11,0
195,P10195,2025-11-01 10:16:35,inbound,S09,E009,8,0
196,P10196,2025-11-01 07:26:18,scan,S01,E019,14,0
197,P10197,2025-11-01 08:48:09,scan,S09,E013,3,0
198,P10198,2025-11-01 06:32:50,scan,S05,E014,4,0
199,P10199,2025-11-01 07:44:40,scan,S05,E009,11,0
200,P10200,2025-11-01 08:37:34,scan,S04,E004,12,0
201,P10201,2025-11-01 06:47:17,scan,S07,E010,6,0
202,P10202,2025-11-01 12:39:07,scan,S02,E006,10,1
203,P10203,2025-11-01 06:19:37,dispatch,S10,E020,6,0
204,P10204,2025-11-01 07:39:51,scan,S07,E005,9,0
205,P10205,2025-11-01 06:53:52,dispatch,S01,E020,8,0
206,P10206,2025-11-01 06:29:56,dispatch,S01,E013,11,0
207,P10207,2025-11-01 08:42:27,scan,S01,E014,5,0
208,P10208,2025-11-01 06:32:38,dispatch,S01,E003,5,0
209,P10209,2025-11-01 06:23:43,sort,S10,E018,9,0
210,P10210,2025-11-01 07:52:30,sort,S06,E014,9,0
211,P10211,2025-11-01 07:22:02,sort,S09,E014,12,0
212,P10212,2025-11-01 07:01:16,scan,S04,E011,13,0
213,P10213,2025-11-01 06:30:33,sort,S02,E017,16,0
214,P10214,2025-11-01 06:58:55,scan,S05,E003,9,0
215,P10215,2025-11-01 07:42:42,scan,S07,E012,9,0
216,P10216,2025-11-01 06:55:14,inbound,S10,E007,10,0
217,P10217,2025-11-01 08:17:34,inbound,S01,E003,8,0
218,P10218,2025-11-01 09:00:11,sort,S06,E005,3,0
219,P10219,2025-11-01 07:34:50,dispatch,S09,E020,13,0
220,P10220,2025-11-01 07:24:20,scan,S07,E008,7,0
221,P10221,2025-11-01 07:59:35,scan,S10,E013,8,0
222,P10222,2025-11-01 08:18:45,inbound,S06,E016,14,0
223,P10223,2025-11-01 06:59:46,scan,S07,E006,11,0
224,P10224,2025-11-01 06:23:20,scan,S03,E014,12,0
225,P10225,2025-11-01 08:01:51,inbound,S09,E016,3,0
226,P10226,2025-11-01 09:27:47,scan,S06,E013,10,0
227,P10227,2025-11-01 10:27:30,dispatch,S05,E008,8,0
228,P10228,2025-11-01 06:16:35,dispatch,S03,E014,9,0
229,P10229,2025-11-01 06:23:12,scan,S03,E012,9,0
230,P10230,2025-11-01 06:07:06,scan,S05,E002,7,0
231,P10231,2025-11-01 07:53:38,inbound,S02,E014,7,0
232,P10232,2025-11-01 13:08:44,inbound,S08,E020,11,0
233,P10233,2025-11-01 07:29:43,scan,S01,E020,5,0
234,P10234,2025-11-01 09:11:35,dispatch,S08,E004,7,0
235,P10235,2025-11-01 06:07:17,sort,S09,E002,12,0
236,P10236,2025-11-01 10:29:01,sort,S10,E010,5,0
237,P10237,2025-11-01 07:46:12,scan,S02,E018,8,0
238,P10238,2025-11-01 06:59:05,inbound,S03,E018,15,0
239,P10239,2025-11-01 08:34:48,scan,S06,E019,4,0
240,P10240,2025-11-01 06:25:14,sort,S02,E009,4,0
241,P10241,2025-11-01 06:35:35,scan,S01,E005,9,0
242,P10242,2025-11-01 06:50:23,scan,S08,E005,6,0
243,P10243,2025-11-01 08:14:34,scan,S02,E006,7,0
244,P10244,2025-11-01 07:41:24,sort,S09,E020,8,0
245,P10245,2025-11-01 09:41:35,scan,S07,E018,11,0
246,P10246,2025-11-01 06:02:46,inbound,S08,E007,6,0
247,P10247,2025-11-01 06:21:27,inbound,S08,E012,11,0
248,P10248,2025-11-01 08:31:22,scan,S08,E003,9,0
249,P10249,2025-11-01 07:15:19,inbound,S07,E015,10,0
250,P10250,2025-11-01 06:28:12,scan,S01,E003,8,0
251,P10251,2025-11-01 06:06:35,sort,S05,E004,7,0
252,P10252,2025-11-01 07:19:34,scan,S09,E020,8,0
253,P10253,2025-11-01 07:42:09,scan,S04,E017,8,0
254,P10254,2025-11-01 06:03:54,scan,S09,E005,7,0
255,P10255,2025-11-01 08:11:08,scan,S09,E005,6,0
256,P10256,2025-11-01 11:46:13,scan,S08,E008,14,0
257,P10257,2025-11-01 06:09:34,scan,S06,E009,16,0
258,P10258,2025-11-01 07:06:31,scan,S07,E003,12,0
259,P10259,2025-11-01 07:44:40,inbound,S10,E008,13,0
260,P10260,2025-11-01 10:20:49,inbound,S05,E020,9,0
261,P10261,2025-11-01 06:05:36,scan,S04,E004,6,0
262,P10262,2025-11-01 09:33:05,sort,S06,E004,14,0
263,P10263,2025-11-01 11:16:52,scan,S01,E019,12,0
264,P10264,2025-11-01 06:41:57,inbound,S07,E015,13,0
265,P10265,2025-11-01 12:13:44,sort,S08,E014,5,0
266,P10266,2025-11-01 14:00:54,scan,S05,E020,12,0
267,P10267,2025-11-01 08:39:24,scan,S05,E017,12,0
268,P10268,2025-11-01 07:11:50,scan,S03,E015,13,0
269,P10269,2025-11-01 06:36:44,scan,S10,E008,15,0
270,P10270,2025-11-01 06:23:56,scan,S04,E012,10,0
271,P10271,2025-11-01 07:40:32,scan,S01,E019,6,0
272,P10272,2025-11-01 10:23:35,scan,S09,E001,10,0
273,P10273,2025-11-01 07:27:28,scan,S07,E012,7,0
274,P10274,2025-11-01 08:25:01,sort,S01,E010,13,0
275,P10275,2025-11-01 07:31:09,sort,S10,E010,9,0
276,P10276,2025-11-01 13:28:58,scan,S10,E016,9,0
277,P10277,2025-11-01 07:08:46,dispatch,S07,E018,13,0
278,P10278,2025-11-01 08:35:56,scan,S05,E020,10,0
279,P10279,2025-11-01 08:23:01,sort,S01,E020,8,0
280,P10280,2025-11-01 12:21:38,sort,S10,E012,14,0
281,P10281,2025-11-01 06:55:58,scan,S10,E018,11,0
282,P10282,2025-11-01 06:50:52,scan,S01,E005,10,0
283,P10283,2025-11-01 10:26:56,scan,S01,E014,11,0
284,P10284,2025-11-01 06:33:06,sort,S05,E003,9,0
285,P10285,2025-11-01 06:02:54,scan,S08,E014,5,0
286,P10286,2025-11-01 06:05:53,dispatch,S04,E009,7,1
287,P10287,2025-11-01 07:00:46,scan,S08,E002,7,0
288,P10288,2025-11-01 06:10:40,sort,S09,E009,14,0
289,P10289,2025-11-01 09:02:03,scan,S09,E016,12,0
290,P10290,2025-11-01 10:10:46,inbound,S10,E019,3,0
291,P10291,2025-11-01 06:51:39,scan,S03,E006,7,0
292,P10292,2025-11-01 06:34:41,scan,S08,E013,10,0
293,P10293,2025-11-01 10:21:34,dispatch,S05,E001,8,0
294,P10294,2025-11-01 08:29:38,scan,S08,E015,8,0
295,P10295,2025-11-01 11:17:07,scan,S02,E015,15,0
296,P10296,2025-11-01 10:48:42,inbound,S04,E011,8,0
297,P10297,2025-11-01 08:54:57,sort,S07,E018,8,0
298,P10298,2025-11-01 06:34:56,inbound,S09,E001,11,0
299,P10299,2025-11-01 08:00:01,sort,S08,E004,11,0
300,P10300,2025-11-01 14:37:10,scan,S02,E013,11,0
301,P10301,2025-11-01 06:10:16,inbound,S07,E011,4,0
302,P10302,2025-11-01 07:39:20,inbound,S04,E001,12,0
303,P10303,2025-11-01 06:04:34,scan,S04,E012,12,0
304,P10304,2025-11-01 06:00:51,inbound,S02,E015,7,0
305,P10305,2025-11-01 09:14:30,sort,S06,E010,13,0
306,P10306,2025-11-01 10:57:47,scan,S02,E017,16,0
307,P10307,2025-11-01 13:10:57,sort,S02,E005,11,0
308,P10308,2025-11-01 09:15:45,sort,S02,E016,7,0
309,P10309,2025-11-01 09:21:33,sort,S03,E002,7,0
310,P10310,2025-11-01 08:31:23,sort,S01,E001,11,0
311,P10311,2025-11-01 08:31:20,sort,S07,E012,12,0
312,P10312,2025-11-01 09:48:11,sort,S01,E011,6,0
313,P10313,2025-11-01 06:16:12,inbound,S02,E008,14,0
314,P10314,2025-11-01 09:29:17,scan,S04,E015,15,0
315,P10315,2025-11-01 09:53:36,sort,S10,E019,9,0
316,P10316,2025-11-01 07:23:40,inbound,S07,E004,6,0
317,P10317,2025-11-01 09:35:13,scan,S09,E005,12,0
318,P10318,2025-11-01 06:18:58,sort,S03,E002,9,0
319,P10319,2025-11-01 07:39:25,sort,S05,E004,18,0
320,P10320,2025-11-01 16:58:43,scan,S03,E020,18,0
321,P10321,2025-11-01 08:18:19,inbound,S02,E019,10,0
322,P10322,2025-11-01 08:12:25,scan,S06,E003,10,0
323,P10323,2025-11-01 07:21:09,scan,S05,E006,5,1
324,P10324,2025-11-01 09:25:17,scan,S04,E014,10,0
325,P10325,2025-11-01 07:59:53,sort,S03,E007,18,0
326,P10326,2025-11-01 07:45:36,scan,S07,E018,6,0
327,P10327,2025-11-01 10:49:19,scan,S06,E004,3,0
328,P10328,2025-11-01 06:12:41,scan,S10,E003,5,0
329,P10329,2025-11-01 06:37:09,sort,S06,E012,6,0
330,P10330,2025-11-01 08:49:27,inbound,S07,E019,13,0
331,P10331,2025-11-01 06:06:32,scan,S05,E003,16,0
332,P10332,2025-11-01 07:32:35,sort,S08,E012,13,0
333,P10333,2025-11-01 07:10:31,scan,S05,E006,6,0
334,P10334,2025-11-01 06:40:02,sort,S03,E017,14,0
335,P10335,2025-11-01 08:54:25,inbound,S06,E004,9,0
336,P10336,2025-11-01 07:40:32,dispatch,S02,E003,12,0
337,P10337,2025-11-01 06:56:15,sort,S06,E007,14,0
338,P10338,2025-11-01 08:21:46,scan,S08,E016,12,0
339,P10339,2025-11-01 07:37:56,scan,S05,E009,11,0
340,P10340,2025-11-01 09:56:45,inbound,S09,E008,13,0
341,P10341,2025-11-01 07:35:00,scan,S03,E009,7,0
342,P10342,2025-11-01 08:29:09,sort,S02,E011,8,0
343,P10343,2025-11-01 11:48:18,inbound,S04,E006,15,0
344,P10344,2025-11-01 07:44:52,scan,S09,E012,3,0
345,P10345,2025-11-01 18:48:36,scan,S09,E013,6,0
346,P10346,2025-11-01 06:51:15,sort,S01,E009,6,0
347,P10347,2025-11-01 07:04:53,scan,S05,E005,11,0
348,P10348,2025-11-01 06:05:28,sort,S03,E006,9,0
349,P10349,2025-11-01 13:22:39,inbound,S02,E019,6,0
350,P10350,2025-11-01 21:38:01,scan,S01,E001,8,0
351,P10351,2025-11-01 07:03:18,inbound,S02,E015,11,0
352,P10352,2025-11-01 12:54:08,dispatch,S02,E004,6,0
353,P10353,2025-11-01 06:39:01,scan,S04,E020,8,0
354,P10354,2025-11-01 06:44:47,inbound,S05,E012,13,0
355,P10355,2025-11-01 06:27:53,scan,S06,E017,8,0
356,P10356,2025-11-01 08:20:20,scan,S10,E018,13,0
357,P10357,2025-11-01 08:59:55,scan,S02,E006,4,0
358,P10358,2025-11-01 06:19:16,scan,S06,E012,10,0
359,P10359,2025-11-01 07:20:46,dispatch,S10,E018,10,0
360,P10360,2025-11-01 06:12:23,scan,S08,E010,5,0
361,P10361,2025-11-01 10:52:17,scan,S01,E004,9,0
362,P10362,2025-11-01 09:03:29,inbound,S03,E012,5,0
363,P10363,2025-11-01 09:10:42,sort,S09,E013,7,0
364,P10364,2025-11-01 08:16:07,inbound,S04,E007,11,0
365,P10365,2025-11-01 07:16:34,scan,S07,E013,8,0
366,P10366,2025-11-01 08:26:25,scan,S05,E007,6,0
367,P10367,2025-11-01 07:31:21,scan,S05,E001,8,0
368,P10368,2025-11-01 10:34:57,inbound,S05,E018,11,0
369,P10369,2025-11-01 09:47:45,scan,S07,E018,16,0
370,P10370,2025-11-01 07:28:11,inbound,S08,E012,7,0
371,P10371,2025-11-01 11:27:31,scan,S03,E020,4,0
372,P10372,2025-11-01 14:51:15,scan,S01,E001,3,0
373,P10373,2025-11-01 08:27:55,scan,S05,E010,8,0
374,P10374,2025-11-01 07:55:52,sort,S10,E004,7,0
375,P10375,2025-11-01 07:11:04,dispatch,S01,E001,13,0
376,P10376,2025-11-01 15:08:41,scan,S07,E011,7,0
377,P10377,2025-11-01 06:11:26,scan,S03,E007,14,0
378,P10378,2025-11-01 06:02:47,scan,S10,E014,11,0
379,P10379,2025-11-01 10:50:53,sort,S01,E011,9,0
380,P10380,2025-11-01 14:37:36,sort,S05,E004,11,0
381,P10381,2025-11-01 11:18:55,scan,S03,E003,4,0
382,P10382,2025-11-01 06:07:43,scan,S01,E003,13,0
383,P10383,2025-11-01 08:32:02,sort,S02,E012,9,0
384,P10384,2025-11-01 13:19:42,scan,S05,E009,9,0
385,P10385,2025-11-01 09:52:09,scan,S07,E006,9,0
386,P10386,2025-11-01 07:31:40,sort,S02,E007,6,0
387,P10387,2025-11-01 09:25:03,sort,S01,E018,10,0
388,P10388,2025-11-01 06:02:35,scan,S02,E017,7,0
389,P10389,2025-11-01 14:10:58,scan,S09,E002,10,0
390,P10390,2025-11-01 06:01:44,sort,S01,E014,6,0
391,P10391,2025-11-01 08:06:42,inbound,S10,E007,3,0
392,P10392,2025-11-01 08:07:31,scan,S02,E018,10,0
393,P10393,2025-11-01 10:45:39,scan,S03,E018,11,0
394,P10394,2025-11-01 06:06:17,sort,S06,E004,10,0
395,P10395,2025-11-01 08:21:58,inbound,S04,E008,12,0
396,P10396,2025-11-01 07:38:57,inbound,S05,E012,6,0
397,P10397,2025-11-01 11:19:54,scan,S04,E018,11,0
398,P10398,2025-11-01 06:25:22,inbound,S09,E011,14,0
399,P10399,2025-11-01 11:39:14,sort,S08,E003,10,0
400,P10400,2025-11-01 10:57:06,scan,S10,E007,9,0
401,P10401,2025-11-01 07:25:52,inbound,S09,E014,6,0
402,P10402,2025-11-01 07:24:09,sort,S04,E013,10,0
403,P10403,2025-11-01 10:50:36,scan,S04,E018,11,0
404,P10404,2025-11-01 08:59:11,sort,S04,E001,6,0
405,P10405,2025-11-01 17:40:46,scan,S08,E002,10,0
406,P10406,2025-11-01 10:28:50,scan,S06,E010,11,0
407,P10407,2025-11-01 08:23:04,dispatch,S05,E014,6,0
408,P10408,2025-11-01 10:10:12,sort,S01,E017,14,0
409,P10409,2025-11-01 07:27:05,scan,S02,E007,14,0
410,P10410,2025-11-01 06:20:28,scan,S04,E014,9,0
411,P10411,2025-11-01 09:08:19,scan,S03,E003,10,0
412,P10412,2025-11-01 12:25:49,sort,S05,E011,5,0
413,P10413,2025-11-01 10:27:19,sort,S09,E015,3,0
414,P10414,2025-11-01 16:43:30,inbound,S02,E008,3,0
415,P10415,2025-11-01 13:15:34,inbound,S03,E019,8,0
416,P10416,2025-11-01 12:19:33,inbound,S01,E013,14,0
417,P10417,2025-11-01 06:52:36,sort,S09,E020,6,0
418,P10418,2025-11-01 10:31:15,sort,S08,E009,8,0
419,P10419,2025-11-01 09:24:21,sort,S04,E007,5,0
420,P10420,2025-11-01 10:40:45,inbound,S03,E016,8,0
421,P10421,2025-11-01 08:09:24,scan,S04,E015,3,0
422,P10422,2025-11-01 06:33:20,scan,S09,E011,9,0
423,P10423,2025-11-01 12:04:30,sort,S07,E010,4,0
424,P10424,2025-11-01 06:05:42,scan,S10,E014,15,0
425,P10425,2025-11-01 09:00:30,sort,S05,E005,13,0
426,P10426,2025-11-01 08:44:26,inbound,S03,E016,3,0
427,P10427,2025-11-01 08:46:23,sort,S08,E014,8,0
428,P10428,2025-11-01 06:51:42,scan,S07,E008,12,0
429,P10429,2025-11-01 12:20:57,scan,S04,E011,4,0
430,P10430,2025-11-01 20:10:06,inbound,S04,E003,3,0
